MANDT [C(00006)]`VKORG [C(00008)]`VTWEG [C(00004)]`SPART [C(00004)]`KALVG [C(00004)]`KALKS [C(00004)]`KALSM [C(00012)]`KARTV [C(00008)]`KALNB [C(00012)]`KALBB [C(00012)]
400`  `  `  `  `  `  `  `  `
400`  1810`  10`  CO`  Y2`  `  A18004`  VTV1`  `
400`  1810`  10`  CO`  Y2`  01`  A18004`  VTV1`  `
400`  1910`  10`  00`  A`  `  A19002`  PPR0`  `
400`  1910`  10`  00`  A`  01`  A19002`  PPR0`  `
400`  1910`  10`  00`  AS`  `  A19010`  `  `
400`  1910`  10`  00`  AS`  01`  A19010`  `  `
400`  1910`  10`  00`  Y1`  `  Y19101`  PPR0`  YA0001`
400`  1910`  10`  00`  Y1`  01`  Y19101`  PPR0`  YA0001`
400`  1910`  10`  00`  Y2`  `  A19004`  VTV1`  `
400`  1910`  10`  00`  Y2`  01`  A19004`  VTV1`  `
400`  1910`  10`  CO`  A`  `  A19002`  PPR0`  `
400`  1910`  10`  CO`  A`  01`  A19002`  PPR0`  `
400`  1910`  10`  CO`  AS`  `  A19010`  `  `
400`  1910`  10`  CO`  AS`  01`  A19010`  `  `
400`  1910`  10`  CO`  Y1`  `  Y19101`  PPR0`  YA0001`
400`  1910`  10`  CO`  Y1`  01`  Y19101`  PPR0`  YA0001`
400`  1910`  10`  CO`  Y2`  `  A19004`  VTV1`  `
400`  1910`  10`  CO`  Y2`  01`  A19004`  VTV1`  `
400`  2006`  00`  C1`  MA`  M1`  MRVAA1`  MPR0`  `
400`  2006`  00`  C2`  MA`  M1`  MRVAA1`  MPR0`  `
400`  2006`  00`  CC`  MA`  M1`  MRVAA1`  MPR0`  `
400`  2006`  10`  C1`  MA`  M1`  MRVAA1`  MPR0`  `
400`  2006`  10`  C2`  MA`  M1`  MRVAA1`  MPR0`  `
400`  2006`  10`  CC`  MA`  M1`  MRVAA1`  MPR0`  `
400`  2006`  90`  C1`  MA`  M1`  MRVAA1`  MPR0`  `
400`  2006`  90`  C2`  MA`  M1`  MRVAA1`  MPR0`  `
400`  2006`  90`  CC`  MA`  M1`  MRVAA1`  MPR0`  `
400`  2006`  ZA`  C1`  MA`  M1`  MRVAA1`  MPR0`  `
400`  2006`  ZA`  C2`  MA`  M1`  MRVAA1`  MPR0`  `
400`  2006`  ZA`  CC`  MA`  M1`  MRVAA1`  MPR0`  `
400`  2006`  ZB`  C1`  MA`  M1`  MRVAA1`  MPR0`  `
400`  2006`  ZB`  C2`  MA`  M1`  MRVAA1`  MPR0`  `
400`  2006`  ZB`  CC`  MA`  M1`  MRVAA1`  MPR0`  `
400`  2010`  10`  00`  A`  `  A20002`  PPR0`  `
400`  2010`  10`  00`  A`  01`  A20002`  PPR0`  `
400`  2010`  10`  00`  AS`  `  A20010`  `  `
400`  2010`  10`  00`  AS`  01`  A20010`  `  `
400`  2010`  10`  00`  Y1`  `  Y20101`  PPR0`  YA0001`
400`  2010`  10`  00`  Y1`  01`  Y20101`  PPR0`  YA0001`
400`  2010`  10`  00`  Y2`  `  A20004`  VTV1`  `
400`  2010`  10`  00`  Y2`  01`  A20004`  VTV1`  `
400`  2010`  10`  CO`  A`  `  A20002`  PPR0`  `
400`  2010`  10`  CO`  A`  01`  A20002`  PPR0`  `
400`  2010`  10`  CO`  AS`  `  A20010`  `  `
400`  2010`  10`  CO`  AS`  01`  A20010`  `  `
400`  2010`  10`  CO`  Y1`  `  Y20101`  PPR0`  YA0001`
400`  2010`  10`  CO`  Y1`  01`  Y20101`  PPR0`  YA0001`
400`  2010`  10`  CO`  Y2`  `  A20004`  VTV1`  `
400`  2010`  10`  CO`  Y2`  01`  A20004`  VTV1`  `
400`  2110`  10`  00`  A`  `  A21002`  PPR0`  `
400`  2110`  10`  00`  A`  01`  A21002`  PPR0`  `
400`  2110`  10`  00`  AS`  `  A21010`  `  `
400`  2110`  10`  00`  AS`  01`  A21010`  `  `
400`  2110`  10`  00`  Y1`  `  Y21101`  PPR0`  YA0001`
400`  2110`  10`  00`  Y1`  01`  Y21101`  PPR0`  YA0001`
400`  2110`  10`  00`  Y2`  `  A21004`  VTV1`  `
400`  2110`  10`  00`  Y2`  01`  A21004`  VTV1`  `
400`  2110`  10`  CO`  A`  `  A21002`  PPR0`  `
400`  2110`  10`  CO`  A`  01`  A21002`  PPR0`  `
400`  2110`  10`  CO`  AS`  `  A21010`  `  `
400`  2110`  10`  CO`  AS`  01`  A21010`  `  `
400`  2110`  10`  CO`  Y1`  `  Y21101`  PPR0`  YA0001`
400`  2110`  10`  CO`  Y1`  01`  Y21101`  PPR0`  YA0001`
400`  2110`  10`  CO`  Y2`  `  A21004`  VTV1`  `
400`  2110`  10`  CO`  Y2`  01`  A21004`  VTV1`  `
400`  2210`  10`  00`  A`  `  A22002`  PPR0`  `
400`  2210`  10`  00`  A`  01`  A22002`  PPR0`  `
400`  2210`  10`  00`  AS`  `  A22010`  `  `
400`  2210`  10`  00`  AS`  01`  A22010`  `  `
400`  2210`  10`  00`  Y1`  `  Y22101`  PPR0`  YA0001`
400`  2210`  10`  00`  Y1`  01`  Y22101`  PPR0`  YA0001`
400`  2210`  10`  00`  Y2`  `  A22004`  VTV1`  `
400`  2210`  10`  00`  Y2`  01`  A22004`  VTV1`  `
400`  2210`  10`  CO`  A`  `  A22002`  PPR0`  `
400`  2210`  10`  CO`  A`  01`  A22002`  PPR0`  `
400`  2210`  10`  CO`  AS`  `  A22010`  `  `
400`  2210`  10`  CO`  AS`  01`  A22010`  `  `
400`  2210`  10`  CO`  Y1`  `  Y22101`  PPR0`  YA0001`
400`  2210`  10`  CO`  Y1`  01`  Y22101`  PPR0`  YA0001`
400`  2210`  10`  CO`  Y2`  `  A22004`  VTV1`  `
400`  2210`  10`  CO`  Y2`  01`  A22004`  VTV1`  `
400`  2310`  10`  00`  A`  `  A23002`  PPR0`  `
400`  2310`  10`  00`  A`  01`  A23002`  PPR0`  `
400`  2310`  10`  00`  AS`  `  A23010`  `  `
400`  2310`  10`  00`  AS`  01`  A23010`  `  `
400`  2310`  10`  00`  DP`  `  Y230DP`  DDPV`  `
400`  2310`  10`  00`  DP`  01`  Y230DP`  DDPV`  `
400`  2310`  10`  00`  Y1`  `  Y23101`  PPR0`  YA0001`
400`  2310`  10`  00`  Y1`  01`  Y23101`  PPR0`  YA0001`
400`  2310`  10`  00`  Y2`  `  A23004`  VTV1`  `
400`  2310`  10`  00`  Y2`  01`  A23004`  VTV1`  `
400`  2310`  10`  CO`  A`  `  A23002`  PPR0`  `
400`  2310`  10`  CO`  A`  01`  A23002`  PPR0`  `
400`  2310`  10`  CO`  AS`  `  A23010`  `  `
400`  2310`  10`  CO`  AS`  01`  A23010`  `  `
400`  2310`  10`  CO`  DP`  `  Y230DP`  DDPV`  `
400`  2310`  10`  CO`  DP`  01`  Y230DP`  DDPV`  `
400`  2310`  10`  CO`  Y1`  `  Y23101`  PPR0`  YA0001`
400`  2310`  10`  CO`  Y1`  01`  Y23101`  PPR0`  YA0001`
400`  2310`  10`  CO`  Y2`  `  A23004`  VTV1`  `
400`  2310`  10`  CO`  Y2`  01`  A23004`  VTV1`  `
400`  2410`  10`  00`  A`  `  A24002`  PPR0`  `
400`  2410`  10`  00`  A`  01`  A24002`  PPR0`  `
400`  2410`  10`  00`  AS`  `  A24010`  `  `
400`  2410`  10`  00`  AS`  01`  A24010`  `  `
400`  2410`  10`  00`  Y1`  `  Y24101`  PPR0`  YA0001`
400`  2410`  10`  00`  Y1`  01`  Y24101`  PPR0`  YA0001`
400`  2410`  10`  00`  Y2`  `  A24004`  VTV1`  `
400`  2410`  10`  00`  Y2`  01`  A24004`  VTV1`  `
400`  2410`  10`  CO`  A`  `  A24002`  PPR0`  `
400`  2410`  10`  CO`  A`  01`  A24002`  PPR0`  `
400`  2410`  10`  CO`  AS`  `  A24010`  `  `
400`  2410`  10`  CO`  AS`  01`  A24010`  `  `
400`  2410`  10`  CO`  Y1`  `  Y24101`  PPR0`  YA0001`
400`  2410`  10`  CO`  Y1`  01`  Y24101`  PPR0`  YA0001`
400`  2410`  10`  CO`  Y2`  `  A24004`  VTV1`  `
400`  2410`  10`  CO`  Y2`  01`  A24004`  VTV1`  `
400`  2510`  10`  00`  A`  `  A25002`  PPR0`  `
400`  2510`  10`  00`  A`  01`  A25002`  PPR0`  `
400`  2510`  10`  00`  AS`  `  A25010`  `  `
400`  2510`  10`  00`  AS`  01`  A25010`  `  `
400`  2510`  10`  00`  Y1`  `  Y25101`  PPR0`  YA0001`
