TCODE [C(00040)]`PARAM [C(00508)]
/AIF/WET_INF_CONFIG`  /*SM30 VIEWNAME=/AIF/V_WET_INF_C;UPDATE=X;
/AIF/WET_PRXY_CONFIG`  /*SM30 VIEWNAME=/AIF/V_WET_PRXYC;UPDATE=X;
/AIFX/ERR_WEB`  /*WDYID STARTMODE=BROWSER;APPLICATION=/AIFX/WDA_MSG_MONITOR;WDCONFIGURATIONID=/AIFX/WDAC_MSG_MONITOR;
/ATL/6111_CODE`  /*SM30 VIEWNAME=/ATL/V_6111_CODE;UPDATE=X;
/ATL/6111_CONV`  /*SM30 VIEWNAME=/ATL/6111_CONV;UPDATE=X;
/ATL/6111_HEADER`  /*SM30 VIEWNAME=/ATL/6111_HEADER;UPDATE=X;
/ATL/ACCOUNTTYPE`  /*SM30 UPDATE=X;VIEWNAME=/ATL/ACCOUNTTYPE;
/ATL/ALLOWED_CHAR`  /*SM30 UPDATE=X;VIEWNAME=/ATL/BNKCHAR;
/ATL/ARDATE`  /*SM30 VIEWNAME=/ATL/AREV_DATE;UPDATE=X;
/ATL/BANK_PARM`  /*SM30 VIEWNAME=/ATL/LCHK_BNKAP;UPDATE=X;
/ATL/DCKP`  /*SM30 VIEWNAME=/ATL/DCKPM;UPDATE=X;
/ATL/DOCTYPE`  /*SM30 UPDATE=X;VIEWNAME=/ATL/DOCTYPE;
/ATL/DQQ9`  /*SM30 VIEWNAME=/ATL/DQQ9;UPDATE=X;
/ATL/FIBP`  /*SM30 VIEWNAME=/ATL/FI_CA;UPDATE=X;
/ATL/FORGD`  /*SM34 UPDATE=X;VCLDIR-VCLNAME=/atl/foreclosures_global;
/ATL/GL01`  /*SM30 UPDATE=X;VIEWNAME=/ATL/GV_GL1;
/ATL/GL02`  /*SM30 UPDATE=X;VIEWNAME=/ATL/GV_GL2;
/ATL/GL03`  /*SM30 UPDATE=X;VIEWNAME=/ATL/GV_GL4A;
/ATL/GL04`  /*SM30 UPDATE=X;VIEWNAME=/ATL/GV_GL4;
/ATL/GLR`  /*SM30 UPDATE=X;VIEWNAME=/ATL/GV_GL4R;
/ATL/GLSETCUST`  /*SM30 VIEWNAME=/ATL/GLSETCUST;UPDATE=X;
/ATL/GLV`  /*SM30 VIEWNAME=/ATL/GV_GL1V;UPDATE=X;
/ATL/ILS_LEDGER`  /*SM30 VIEWNAME=/ATL/ILS_LEDGER;UPDATE=X;
/ATL/KP04`  /*SM30 VIEWNAME=/ATL/KPKUPA;UPDATE=X;
/ATL/KP05`  /*SM30 VIEWNAME=/ATL/KPKUPC;UPDATE=X;
/ATL/KP06`  /*SM30 VIEWNAME=/ATL/KPKUPD;UPDATE=X;
/ATL/KP11`  /*SM30 VIEWNAME=/ATL/KPFASR;UPDATE=X;
/ATL/KP12`  /*SM30 VIEWNAME=/ATL/KPATAR;UPDATE=X;
/ATL/KP13`  /*SM30 VIEWNAME=/ATL/KPCRDTYP;UPDATE=X;
/ATL/KP14`  /*SM30 VIEWNAME=/ATL/KPCRDLTYP;UPDATE=X;
/ATL/KP16`  /*SM30 VIEWNAME=/ATL/KP012C;UPDATE=X;
/ATL/KP30`  /*SM30 VIEWNAME=/ATL/KPLIMIT;UPDATE=X;
/ATL/KP35`  /*SM30 VIEWNAME=/ATL/KPKP00;UPDATE=X;
/ATL/KP36`  /*SM30 VIEWNAME=/ATL/KPKUPB;UPDATE=X;
/ATL/KP40`  /*SM30 VIEWNAME=/ATL/KPINCOMTYPE;UPDATE=X;
/ATL/KP45`  /*SM30 VIEWNAME=/ATL/KPCC_FILE;UPDATE=X;
/ATL/KP46`  /*SM30 VIEWNAME=/ATL/KPCC_STR;UPDATE=X;
/ATL/KP47`  /*SM30 VIEWNAME=/ATL/KPCC_MSG;UPDATE=X;
/ATL/KP48`  /*SM30 SHOW=X;VIEWNAME=/ATL/KPCC_LOG;
/ATL/KP49`  /*SM30 VIEWNAME=/ATL/KPCC_CUR;UPDATE=X;
/ATL/LCHK_VBNKA`  /*SM30 VIEWNAME=/ATL/L_VBNKA;UPDATE=X;
/ATL/MAT_MTYPE`  /*SM30 VIEWNAME=/ATL/MAT_MTYPE;UPDATE=X;
/ATL/NOADJ`  /*SM30 VIEWNAME=/ATL/ANOADJY;UPDATE=X;
/ATL/SD_DOCUMENT`  /*SM30 VIEWNAME=/ATL/SD_DOCUMENT;UPDATE=X;
/ATL/TAX_PER`  /*SM34 VCLDIR-VCLNAME=/ATL/TAX_PERCENTAGE;UPDATE=X;
/ATL/TRAN_TYPE`  /*SM30 VIEWNAME=/ATL/TRAN_TYPE;UPDATE=X;
/ATL/UVBN`  /*SM30 VIEWNAME=/ATL/UILBILNR_V;UPDATE=X;
/ATL/VATRECT1`  /*SM30 VIEWNAME=/ATL/RECTYPE1;UPDATE=X;
/ATL/VATRECT2`  /*SM30 VIEWNAME=/ATL/RECTYPE2;UPDATE=X;
/ATL/VATRECT3`  /*SM30 VIEWNAME=/ATL/RECTYPE3;UPDATE=X;
/ATL/VAT_TRANKEY`  /*SM30 VIEWNAME=/ATL/VAT_TRANKEY;UPDATE=X;
/ATL/VQZ10`  /*SM30 VIEWNAME=/ATL/VFI00003;UPDATE=X;
/ATL/VQZ4`  /*SM30 VIEWNAME=/ATL/VFI00002;UPDATE=X;
/ATL/VQZ6`  /*SM30 VIEWNAME=/ATL/VTCURT;UPDATE=X;
/ATL/VQZ7`  /*SM30 VIEWNAME=/ATL/VFI00004;UPDATE=X;
/BA1/F4_15_IR_REL01`  /*BCA_CUS_REL_PROC P_OBJCAT=FDB_15_IR;
/BA1/F4_ARC_SEL_DATE`  /*SM30 UPDATE=X;VIEWNAME=/BA1/V_TF4_ARCHD;
/BCV/GRPING`  /*SM30 VIEWNAME=/BCV/V_GRPING;SHOW=X;
/BCV/MEANING`  /*SM30 VIEWNAME=/BCV/V_MEANT;SHOW=X;
/BCV/QCACHE`  /*SM30 SHOW=X;VIEWNAME=/BCV/V_QDURA;
/BCV/QDISPATCHER`  /*SM30 SHOW=X;VIEWNAME=/BCV/V_QDISP;
/BCV/QUERY`  /*SM34 VCLDIR-VCLNAME=/BCV/VC_QUERY;SHOW=;
/BCV/SINC`  /*SM34 VCLDIR-VCLNAME=/bCV/VC_SIN_DS;SHOW=X;
/BCV/SSHOTS`  /*SM30 VIEWNAME=/BCV/V_SSHOTS;UPDATE=X;
/BCV/UDASH`  /*SM34 VCLDIR-VCLNAME=/BCV/VC_UDASH;SHOW=;
/BCV/UGRP`  /*SM34 VCLDIR-VCLNAME=/BCV/VC_UGRP;SHOW=;
/BCV/UPRINT`  /*SM30 VIEWNAME=/BCV/V_PRINT_PAR;UPDATE=X;
/BCV/UPRVW`  /*SM34 VCLDIR-VCLNAME=/BCV/VC_UPRVW;SHOW=;
/BCV/UQVIEW`  /*SM34 VCLDIR-VCLNAME=/BCV/VC_UQVIEW;SHOW=X;
/BEV1/EM0`  /*SM30 VIEWNAME=/BEV1/EMDASV_V;UPDATE=X;
/BEV1/EM1`  /*SM30 VIEWNAME=/BEV1/EMFAS_V;UPDATE=X;
/BEV1/EM2`  /*SM30 VIEWNAME=/BEV1/EMDKZ_V;UPDATE=X;
/BEV1/EM3`  /*SM30 VIEWNAME=/BEV1/EMMTART_V;UPDATE=X;
/BEV1/EM4`  /*SM30 VIEWNAME=/BEV1/EMLGMAT_V;UPDATE=X;
/BEV1/EM5`  /*SM30 VIEWNAME=/BEV1/EMPTYP_V;UPDATE=X;
/BEV1/EMB`  /*SARA ARCH_TXT-OBJECT=BEV1_EMBD;RADIO_FIRST=;RADIO_ARCHIVE='X';RADIO_DELETE=;RADIO_LAST=;RADIO_RELOAD=;RADIO_MANAGE=;
/BEV1/EMC`  /*SARA ARCH_TXT-OBJECT=BEV1_EMBD;RADIO_RELOAD=X;
/BEV1/EMD`  /*SARA ARCH_TXT-OBJECT=BEV1_EMFD;RADIO_FIRST=;RADIO_ARCHIVE='X';RADIO_DELETE=;RADIO_LAST=;RADIO_RELOAD=;RADIO_MANAGE=;
/BEV1/EME`  /*SARA ARCH_TXT-OBJECT=BEV1_EMFD;RADIO_RELOAD=X;
/BEV1/EMN`  /NSNUM TNRO-OBJECT=/BEV1/EMLG;
/BGLOCS/A0`  /*SM30 VIEWNAME=/BGLOCS/FITAXDPR;UPDATE=X;
/BGLOCS/FI_ASSETS`  /*START_REPORT D_SREPOVARI-EXTDREPORT=FBR 01RFRRS02                       0BG-ACTIV-01;D_SREPOVARI-REPORTTYPE=RE;
/BGLOCS/FI_DISAV`  /*SM30 VIEWNAME=/BGLOCS/FI_DISAV;UPDATE=X;
/BGLOCS/FI_DISDO`  /*SM30 VIEWNAME=/BGLOCS/FI_DISDO;UPDATE=X;
/BGLOCS/FI_DISTX`  /*SM30 VIEWNAME=/BGLOCS/FI_DISTX;UPDATE=X;
/BGLOCS/FI_LIABILI`  /*START_REPORT D_SREPOVARI-REPORTTYPE=RE;D_SREPOVARI-EXTDREPORT=FBR 01RFRRS02                       0BG-PASSI-01;
/BGLOCS/FI_PL_EXPEN`  /*START_REPORT D_SREPOVARI-EXTDREPORT=FBR 01RFRRS02                       0BG-EXPEN-01;D_SREPOVARI-REPORTTYPE=RE;
/BGLOCS/FI_PL_REVEN`  /*START_REPORT D_SREPOVARI-EXTDREPORT=FBR 01RFRRS02                       0BG-REVEN-01;D_SREPOVARI-REPORTTYPE=RE;
/BGLOCS/V1`  /*SM30 VIEWNAME=/BGLOCS/FITXCOL;UPDATE=X;
/BGLOCS/V10`  /*SM30 VIEWNAME=/BGLOCS/FI001ZT;UPDATE=X;
/BGLOCS/V11`  /*SM30 VIEWNAME=/BGLOCS/BNK_DATA;UPDATE=X;
/BGLOCS/V12`  /*SM30 VIEWNAME=/BGLOCS/FIINDSET;UPDATE=X;
/BGLOCS/V2`  /*SM30 VIEWNAME=/BGLOCS/FIDOCUT;UPDATE=X;
/BGLOCS/V3`  /*SM30 VIEWNAME=/BGLOCS/FI001Z;UPDATE=X;
/BGLOCS/V4`  /*SM30 VIEWNAME=/BGLOCS/FITZST;UPDATE=X;
/BGLOCS/V5`  /*SM30 VIEWNAME=/BGLOCS/FIADRC;UPDATE=X;
/BGLOCS/V6`  /*SM30 VIEWNAME=/BGLOCS/SDFIMAP;UPDATE=X;
/BGLOCS/V7`  /*SM30 VIEWNAME=/BGLOCS/MMFIMAP;UPDATE=X;
/BGLOCS/V8`  /*SM30 VIEWNAME=/BGLOCS/FIPRDSET;UPDATE=X;
/BGLOCS/V9`  /*SM30 VIEWNAME=/BGLOCS/PRNT_FRM;UPDATE=X;
/BOBF/CUST_UI`  \CLASS=/BOBF/CL_CUST_MANAGER\METHOD=INITIALIZE
/BON/AGNUM_MAINTAIN`  /NSNUM TNRO-OBJECT=/BON/AGNUM;
