PATCH [C(00040)]`SHORT_TEXT [C(00120)]`STATUS [C(00002)]`IMPLE_DATE [D(00016)]`L_IMPL_REL [C(00008)]`DELIV_DATE [D(00016)]`IMPLE_TIME [T(00012)]`COMP_REL [C(00020)]`COMPONENT [C(00060)]
SAPK-60018INERECRUIT`  ERECRUIT 600: Support Package 0018`  I`  20110810`  702`  20100811`  074327`  600`  ERECRUIT
SAPKE60831`  SAP_HR 608: SP 0031`  I`  20170127`  751`  20160809`  152611`  608`  SAP_HR
SAPK-60018INFICAX`  SP 18 for FI-CAX 6.00`  I`  20110810`  702`  201`  150217`  `
SAPK-60018ININSURANC`  SP 18 for INSURANCE 6.00`  I`  20110810`  702`  201`  150219`  `
SAPK-60018INISH`  SP 18 for IS-H 6.00`  I`  20091125`  702`  200`  162508`  600`  IS-H
SAPK-60018INISM`  SP 18 for IS-M 6.00`  I`  20110810`  702`  201`  150229`  `
SAPK-60018INISOIL`  SP 18 for IS-OIL 6.00`  I`  20110810`  702`  201`  150231`  `
SAPK-60018INISPSCA`  SP 18 for IS-PS-CA 6.00`  I`  20110810`  702`  201`  150233`  `
SAPK-60018INISUT`  SP 18 for IS-UT 6.00`  I`  20110810`  702`  201`  150235`  `
SAPK-60018INLSOFE`  LSOFE 600: Support Package 0018`  I`  20110810`  702`  20100811`  074341`  600`  LSOFE
SAPK-60019INERECRUIT`  ERECRUIT 600: Support Package 0019`  I`  20110810`  702`  20110127`  074328`  600`  ERECRUIT
SAPK-60831INEAHR`  EA-HR 608: SP 0031`  I`  20170127`  751`  20160809`  152612`  608`  EA-HR
SAPK-60019INFICAX`  SP 19 for FI-CAX 6.00`  I`  20110810`  702`  20110201`  150218`  `
SAPK-60019ININSURANC`  SP 19 for INSURANCE 6.00`  I`  20110810`  702`  20110201`  150220`  `
SAPK-60019INISH`  SP 19 for IS-H 6.00`  I`  20091125`  702`  20090720`  162509`  `
SAPK-60019INISM`  SP 19 for IS-M 6.00`  I`  20110810`  702`  20110201`  150230`  `
SAPK-60019INISOIL`  SP 19 for IS-OIL 6.00`  I`  20110810`  702`  20110201`  150232`  `
SAPK-60019INISPSCA`  SP 19 for IS-PS-CA 6.00`  I`  20110810`  702`  20110201`  150234`  `
SAPK-60019INISUT`  SP 19 for IS-UT 6.00`  I`  20110810`  702`  20110201`  150236`  `
SAPK-60019INLSOFE`  LSOFE 600: Support Package 0019`  I`  20110810`  702`  20110127`  074342`  600`  LSOFE
SAPK-60020INERECRUIT`  ERECRUIT 600: Support Package 0020`  I`  20130531`  740`  20110804`  135701`  600`  ERECRUIT
SAPKE60832`  SAP_HR 608: SP 0032`  I`  20170127`  751`  201`  152613`  608`  SAP_HR
SAPK-60020INFICAX`  SP 20 for FI-CAX 6.00`  I`  20130531`  740`  20110822`  135703`  600`  FI-CAX
SAPK-60020ININSURANC`  SP 20 for INSURANCE 6.00`  I`  20130531`  740`  20110822`  135704`  600`  INSURANCE
SAPK-60020INISH`  SP 20 for IS-H 6.00`  I`  20110810`  702`  20091127`  074335`  600`  IS-H
SAPK-60020INISM`  SP 20 for IS-M 6.00`  I`  20130531`  740`  20110822`  135706`  600`  IS-M
