UserId [C(00030)]`Date [D(00016)]`Time [T(00012)]`ChangedBy [C(00024)]`Action [C(00100)]`OldContentsOfChangedField [C(00150)]`NewContentsOfChangedField [C(00150)]`TCode [C(00030)]
SAP586|12/07/2020|12:53:16|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP587|12/07/2020|13:45:08|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP587|12/07/2020|13:45:08|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP588|12/07/2020|19:01:30|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP588|12/07/2020|19:01:30|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP589|12/07/2020|19:01:48|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP589|12/07/2020|19:01:48|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP590|12/07/2020|20:05:17|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP590|12/07/2020|20:05:17|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP591|12/08/2020|09:44:25|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP591|12/08/2020|09:44:25|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP592|12/08/2020|11:39:41|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP592|12/08/2020|11:39:41|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP593|12/08/2020|17:05:28|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP593|12/08/2020|17:05:28|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP593|12/08/2020|17:05:28|SAP   |有效期至：已更改|00/00/0000                                                                                                                                                                                                                                                   |              |12/18/2020                                                                                                                                                                                                                                                   |              |SU01```````
SAP594|12/08/2020|18:21:41|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
