MANDANT [C(00006)]`OBJECTCLAS [C(00030)]`OBJECTID [C(00180)]`CHANGENR [C(00020)]`TABNAME [C(00060)]`TABKEY [C(00140)]`FNAME [C(00060)]`CHNGIND [C(00002)]`TEXT_CASE [C(00002)]`UNIT_OLD [C(00006)]`UNIT_NEW [C(00006)]`CUKY_OLD [C(00010)]`CUKY_NEW [C(00010)]`VALUE_NEW [C(00508)]`VALUE_OLD [C(00508)]
400`  PFCG`  SAPOS_SD_LORD_ODATA_ORDER`  0000239657`  AGR_USERS`  400SAPOS_SD_LORD_ODATA_ORDER     SAP556      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAPOS_SD_RESOLVE_CREDIT_BLOCK`  0000239658`  AGR_USERS`  400SAPOS_SD_RESOLVE_CREDIT_BLOCK SAP556      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAPOS_SD_SOFM_INVOICE`  0000239659`  AGR_USERS`  400SAPOS_SD_SOFM_INVOICE         SAP556      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BC_SEFS_ADMIN`  0000239660`  AGR_USERS`  400SAP_BC_SEFS_ADMIN             SAP556      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BC_SES_ADMIN`  0000239661`  AGR_USERS`  400SAP_BC_SES_ADMIN              SAP556      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_AA_ACCOUNTANT`  0000239662`  AGR_USERS`  400SAP_BR_AA_ACCOUNTANT          SAP556      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_AA_ACCOUNTANT_US`  0000239663`  AGR_USERS`  400SAP_BR_AA_ACCOUNTANT_US       SAP556      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_ADMINISTRATOR_RCP_DEV`  0000239664`  AGR_USERS`  400SAP_BR_ADMINISTRATOR_RCP_DEV  SAP556      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_AP_ACCOUNTANT`  0000239665`  AGR_USERS`  400SAP_BR_AP_ACCOUNTANT          SAP556      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_AP_ACCOUNTANT_PROCUREMT`  0000239666`  AGR_USERS`  400SAP_BR_AP_ACCOUNTANT_PROCUREMTSAP556      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
